product_1_star,product_2_star,product_3_star,product_4_star,product_5_star,product_avg_rating,product_img,product_num_reviews,product_url
2%,6%,20%,32%,40%,4.04,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4494/9781449495084.jpg,"6,375 ratings",https://www.bookdepository.com/Pillow-Thoughts-II-Courtney-Peppernell/9781449495084
1%,2%,12%,36%,48%,4.29,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7835/9781783524921.jpg,615 ratings,https://www.bookdepository.com/You-Took-Last-Bus-Home-Brian-Bilston/9781783524921
1%,3%,23%,32%,41%,4.09,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6976/9781697643657.jpg,149 ratings,https://www.bookdepository.com/Coming-Home-Her-Emily-Juniper/9781697643657
0%,12%,12%,33%,42%,4.06,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7716/9781771664936.jpg,33 ratings,https://www.bookdepository.com/War-Torn-Hasan-Namir/9781771664936
2%,6%,22%,31%,40%,4.02,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0075/9780007542598.jpg,"123,211 ratings",https://www.bookdepository.com/Mary-Poppins-P-L-Travers/9780007286416
4%,5%,17%,29%,46%,4.09,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0082/9780008211677.jpg,756 ratings,https://www.bookdepository.com/Bagthorpe-Saga-Ordinary-Jack-Helen-Cresswell/9780008211677
0%,3%,15%,36%,45%,4.23,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0067/9780006709930.jpg,247 ratings,https://www.bookdepository.com/Tree-that-Sat-Down-Beverley-Nichols/9780006709930
2%,4%,21%,35%,38%,4.04,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0073/9780007301416.jpg,514 ratings,https://www.bookdepository.com/Kingdom-by-Sea-Robert-Westall/9780007301416
2%,3%,13%,33%,49%,4.23,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0084/9780008485146.jpg,"104,868 ratings",https://www.bookdepository.com/Wild-Swans-Jung-Chang/9780008485146
0%,1%,9%,35%,55%,4.42,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9788/4679/9788467946451.jpg,"3,604 ratings",https://www.bookdepository.com/CHAINSAW-MAN-06-TATSUKI-FUJIMOTO/9788467946451
0%,0%,5%,39%,57%,4.52,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5067/9781506725062.jpg,44 ratings,https://www.bookdepository.com/Usagi-Yojimbo-Saga-9-Stan-Sakai/9781506725062
0%,1%,10%,30%,59%,4.46,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974700530.jpg,"9,188 ratings",https://www.bookdepository.com/Demon-Slayer-Kimetsu-no-Yaiba-Vol-2-Koyoharu-Gotouge/9781974700530
1%,7%,20%,34%,38%,4.01,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974725175.jpg,114 ratings,https://www.bookdepository.com/Dragon-Ball-Super-Vol-15-Akira-Toriyama/9781974725175
0%,5%,22%,36%,37%,4.05,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974721580.jpg,195 ratings,https://www.bookdepository.com/Fist-North-Star-Vol-3-Buronson/9781974721580
2%,5%,22%,31%,40%,4.02,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5248/9781524854522.jpg,915 ratings,https://www.bookdepository.com/Pillow-Thoughts-IV-Courtney-Peppernell/9781524854522
1%,5%,21%,34%,38%,4.02,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4494/9781449497057.jpg,"2,687 ratings",https://www.bookdepository.com/Pillow-Thoughts-III-Courtney-Peppernell/9781449497057
1%,0%,2%,13%,84%,4.78,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5248/9781524854539.jpg,85 ratings,https://www.bookdepository.com/Believe-Your-Own-Magic-Amanda-Lovelace/9781524854539
1%,4%,17%,36%,43%,4.17,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3987/9781398702769.jpg,"1,225 ratings",https://www.bookdepository.com/Where-Hope-Comes-From-Nikita-Gill/9781398702769
1%,3%,10%,31%,55%,4.35,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7338/9781733854603.jpg,431 ratings,https://www.bookdepository.com/Evolution-Girl-L-E-Bowman/9781733854603
1%,5%,14%,28%,52%,4.25,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5272/9781527216754.jpg,586 ratings,https://www.bookdepository.com/Bloom-for-Yourself-April-Green/9781527216754
2%,3%,13%,32%,50%,4.25,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0072/9780007299263.jpg,"263,603 ratings",https://www.bookdepository.com/Howls-Moving-Castle-Diana-Wynne-Jones/9780061478789
1%,3%,20%,48%,29%,4.01,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3582/9780358272557.jpg,"4,098 ratings",https://www.bookdepository.com/Land-Big-Numbers-Te-Ping-Chen/9780358272557
3%,4%,10%,14%,69%,4.41,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0071/9780007161546.jpg,209 ratings,https://www.bookdepository.com/Cat-Hat-Other-Stories-Dr-Seuss/9780007161546
2%,4%,19%,36%,39%,4.06,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1424/9780142401118.jpg,"69,192 ratings",https://www.bookdepository.com/My-Side-Mountain-Puffin-Modern-Classics-Jean-Craighead-George/9780142401118
1%,3%,19%,48%,30%,4.03,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0629/9780062955791.jpg,483 ratings,https://www.bookdepository.com/Tidesong-Wendy-Xu/9780062955791
2%,5%,14%,26%,53%,4.24,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/5517/9783551714435.jpg,"2,108 ratings",https://www.bookdepository.com/Dragon-Ball-Super-1-Akira-Toriyama/9783551714435
1%,2%,16%,35%,46%,4.22,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/5517/9783551730770.jpg,575 ratings,https://www.bookdepository.com/Dragon-Ball-Super-10-Akira-Toriyama-Original-Story/9783551730770
1%,2%,14%,30%,52%,4.32,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/5517/9783551714442.jpg,"1,193 ratings",https://www.bookdepository.com/Dragon-Ball-Super-2-Akira-Toriyama-Original-Story/9783551714442
2%,4%,16%,36%,43%,4.14,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974721566.jpg,936 ratings,https://www.bookdepository.com/Fist-North-Star-Vol-1-Buronson/9781974721566
0%,5%,22%,36%,37%,4.05,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974721580.jpg,195 ratings,https://www.bookdepository.com/Fist-North-Star-Vol-3-Buronson/9781974721580
