product_1_star,product_2_star,product_3_star,product_4_star,product_5_star,product_avg_rating,product_img,product_num_reviews,product_url
2,1,3,5,219,4.8,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5c64874d4064df0001fffb10/198x149.png,230,https://www.trustpilot.com/review/colorfulcritters.com
6,4,11,44,605,4.8,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/52d192d9000064000577de16/198x149.png,670,https://www.trustpilot.com/review/www.statesidebeadsupply.com
6,2,2,34,628,4.8,//s3-eu-west-1.amazonaws.com/tpd/screenshots/48237fe70000640005027515/198x149.png,672,https://www.trustpilot.com/review/www.b2cjewels.com
18,16,18,38,950,4.8,//s3-eu-west-1.amazonaws.com/tpd/logos/5bd375d7d1dddf00014245ba/0x0.png,1,040,https://www.trustpilot.com/review/shieldsofstrength.com
21,11,25,70,929,4.8,//s3-eu-west-1.amazonaws.com/tpd/screenshots/55b094970000ff0005814e6a/198x149.png,1,056,https://www.trustpilot.com/review/williamhenry.com
1,0,0,3,101,4.8,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5697d89e0000ff0005879e8b/198x149.png,105,https://www.trustpilot.com/review/avisdiamond.com
409,289,736,1,771,19,460,4.7,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/57bc468b0000ff000593d0d1/198x149.png,22,665,https://www.trustpilot.com/review/catholiccompany.com
0,0,0,3,34,4.8,//s3-eu-west-1.amazonaws.com/tpd/logos/4cc3f5f500006400050e08c4/0x0.png,37,https://www.trustpilot.com/review/steindiamonds.com
0,0,0,0,50,4.8,//s3-eu-west-1.amazonaws.com/tpd/logos/599f171f0000ff0005a99ae2/0x0.png,50,https://www.trustpilot.com/review/bengarelick.com
833,242,272,786,19,874,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/5ee82db4edf1fe0001effc87/0x0.png,22,007,https://www.trustpilot.com/review/jaxxon.com
1,1,3,3,43,4.8,//s3-eu-west-1.amazonaws.com/tpd/screenshots/54caa62d0000ff00057d1391/198x149.png,51,https://www.trustpilot.com/review/crjewelers.com
2,0,0,0,43,4.8,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5be9f4a295bbdc0001867690/198x149.png,45,https://www.trustpilot.com/review/moregems.com
2,0,0,0,58,4.8,https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/public/default-business-unit-image-118x89.svg,60,https://www.trustpilot.com/review/www.vidarjewelry.com
0,0,0,3,61,4.8,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5384fd01000064000578d431/198x149.png,64,https://www.trustpilot.com/review/diamondlighthouse.com
0,0,0,1,67,4.8,https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/public/default-business-unit-image-118x89.svg,68,https://www.trustpilot.com/review/diamondsbyemma.com
0,0,0,2,50,4.8,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/528fa0cb00006400057763b0/198x149.png,52,https://www.trustpilot.com/review/idjewelry.com
1,0,2,1,64,4.8,//s3-eu-west-1.amazonaws.com/tpd/logos/5c01de83d3d896000100bebe/0x0.png,68,https://www.trustpilot.com/review/www.palkhifashion.com
2,0,1,1,59,4.8,//s3-eu-west-1.amazonaws.com/tpd/screenshots/545d19a800006400057b6675/198x149.png,63,https://www.trustpilot.com/review/dacarli.com
0,0,0,0,56,4.8,//s3-eu-west-1.amazonaws.com/tpd/logos/5ff0c5500e55420001bb85aa/0x0.png,56,https://www.trustpilot.com/review/takuyawatches.com
0,3,0,2,78,4.8,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5bae93ee8d99e600014b371c/198x149.png,83,https://www.trustpilot.com/review/bbbecker.com
0,0,0,3,54,4.8,//s3-eu-west-1.amazonaws.com/tpd/screenshots/4917964c000064000503e15b/198x149.png,57,https://www.trustpilot.com/review/www.firenzejewels.com
1,0,0,3,93,4.8,//s3-eu-west-1.amazonaws.com/tpd/logos/60622b97a1350b0001b21ce9/0x0.png,97,https://www.trustpilot.com/review/beekind.shop
0,0,0,2,99,4.8,//s3-eu-west-1.amazonaws.com/tpd/logos/5dc4cbd0616280000168cb09/0x0.png,101,https://www.trustpilot.com/review/sophiaforero.com
1,1,0,6,75,4.8,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5400e9e100006400057a055a/198x149.png,83,https://www.trustpilot.com/review/wholesalegemshop.com
0,0,1,3,80,4.8,//s3-eu-west-1.amazonaws.com/tpd/logos/59e65e980000ff0005ade9c9/0x0.png,84,https://www.trustpilot.com/review/nelsoncoleman.com
0,1,3,5,105,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/57b1c6550000ff0005937fd1/0x0.png,114,https://www.trustpilot.com/review/www.azeera.com
0,1,2,2,86,4.7,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5cb4cd5b35ece40001c4fbdc/198x149.png,91,https://www.trustpilot.com/review/forever-moissanite.com
0,1,0,1,40,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/60edbd4d2326ce00010299d7/0x0.png,42,https://www.trustpilot.com/review/annieandsisters.com
3,1,2,2,85,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/6009a7d17a6379000142d7d7/0x0.png,93,https://www.trustpilot.com/review/www.keyzarjewelry.com
5,0,0,1,86,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/6040a2755561860001783c3e/0x0.png,92,https://www.trustpilot.com/review/shesaidyes.com
5,3,9,20,359,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/5f2c4b0656ee4e00011a2dff/0x0.png,396,https://www.trustpilot.com/review/www.rebelnell.com
5,7,12,43,280,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/5e288ba27602ab000104234a/0x0.png,347,https://www.trustpilot.com/review/norsespirit.com
2,6,6,27,387,4.7,//s3-eu-west-1.amazonaws.com/tpd/screenshots/51c5b3ce0000640005493c1d/198x149.png,428,https://www.trustpilot.com/review/arizonabeadcompany.com
0,2,1,3,56,4.7,https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/public/default-business-unit-image-118x89.svg,62,https://www.trustpilot.com/review/elementrings.com
1,1,2,3,70,4.7,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5ceee482951de70001a64187/198x149.png,77,https://www.trustpilot.com/review/modgents.com
6,0,2,37,470,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/4bdd96ec00006400050637bc/0x0.png,515,https://www.trustpilot.com/review/www.primestyle.com
11,2,9,18,386,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/5c5347f2fef045000155ff38/0x0.png,426,https://www.trustpilot.com/review/newworlddiamonds.com
11,11,20,81,891,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/51dd0b720000640005551b7c/0x0.png,1,014,https://www.trustpilot.com/review/lagunapearl.com
41,11,28,82,1,561,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/5a6f3739cc897c0001cf2af2/0x0.png,1,723,https://www.trustpilot.com/review/www.shopworn.com
248,117,183,419,6,750,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/56eaf2d30000ff00058a527f/0x0.png,7,717,https://www.trustpilot.com/review/becharming.com
144,47,76,121,2,546,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/5ee99b0335f683000115b442/0x0.png,2,934,https://www.trustpilot.com/review/crystalclassics.com
29,7,2,18,340,4.7,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5a26c4920000ff0005b277b9/198x149.png,396,https://www.trustpilot.com/review/www.vancaro.com
22,13,12,24,481,4.7,//s3-eu-west-1.amazonaws.com/tpd/screenshots/55198b880000ff00057e6345/198x149.png,552,https://www.trustpilot.com/review/www.miadonna.com
29,19,54,152,1,719,4.7,//s3-eu-west-1.amazonaws.com/tpd/screenshots/551eee220000ff00057e7fb9/198x149.png,1,973,https://www.trustpilot.com/review/gemsondisplay.com
0,0,0,0,28,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/5b3147f6a2dbb800012ca928/0x0.png,28,https://www.trustpilot.com/review/harperandteal.com
0,0,0,0,37,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/5c0009a29ca8c00001e2fe9b/0x0.png,37,https://www.trustpilot.com/review/blueboxboutiqueinc.com
0,0,0,0,27,4.7,https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/public/default-business-unit-image-118x89.svg,27,https://www.trustpilot.com/review/naladams.com
0,0,0,0,32,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/5cc310cc3deafc000159e699/0x0.png,32,https://www.trustpilot.com/review/goghjewelrydesign.com
0,0,0,3,25,4.7,//s3-eu-west-1.amazonaws.com/tpd/screenshots/485164b1000064000502afe0/198x149.png,28,https://www.trustpilot.com/review/www.gemselect.com
0,0,0,0,26,4.7,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5caca9b57b08650001e13dbb/198x149.png,26,https://www.trustpilot.com/review/doamore.com
5,0,0,3,66,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/5efef4c36ea9db0001354aef/0x0.png,74,https://www.trustpilot.com/review/mwring.com
4,0,0,3,89,4.6,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/570fe52b0000ff00058b8605/198x149.png,96,https://www.trustpilot.com/review/usjewelryfactory.com
6,5,5,13,85,4.6,//s3-eu-west-1.amazonaws.com/tpd/screenshots/4d3268bc00006400050e65a5/198x149.png,114,https://www.trustpilot.com/review/jewelsforme.com
0,0,0,0,30,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/5d58807db42e9b00019633eb/0x0.png,30,https://www.trustpilot.com/review/karats.us
5,0,6,7,117,4.6,//s3-eu-west-1.amazonaws.com/tpd/screenshots/60adbed73dcf5700018cea0e/198x149.png,135,https://www.trustpilot.com/review/joyasdechina.com
0,0,0,2,36,4.7,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5d48e55f6b69b000015bf022/198x149.png,38,https://www.trustpilot.com/review/www.paraibainternational.com
3,2,0,7,112,4.6,//s3-eu-west-1.amazonaws.com/tpd/screenshots/4bfddcbd00006400050d261f/198x149.png,124,https://www.trustpilot.com/review/gemsny.com
2,0,0,0,28,4.7,//s3-eu-west-1.amazonaws.com/tpd/screenshots/4f499ddc000064000513263f/198x149.png,30,https://www.trustpilot.com/review/25karats.com
1,0,0,2,39,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/5e267c38947e1f00018597ba/0x0.png,42,https://www.trustpilot.com/review/www.yadavjewelry.com
25,10,21,44,434,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/5d403a7ed034e10001d4a119/0x0.png,534,https://www.trustpilot.com/review/gemstoneking.com
18,5,3,26,204,4.6,//s3-eu-west-1.amazonaws.com/tpd/screenshots/59f2ec720000ff0005aecad6/198x149.png,256,https://www.trustpilot.com/review/shop.atperrys.com
