product_1_star,product_2_star,product_3_star,product_4_star,product_5_star,product_avg_rating,product_img,product_num_reviews,product_url,ID
0%,6%,5%,22%,67%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/41q0aN5h3ML.__AC_SX300_SY300_QL70_ML2_.jpg,26,https://www.amazon.com/Bose-718840-0010-QuietComfort-Cancelling-Headphones/dp/B07LHC923F,AMZN-94
5%,6%,7%,23%,59%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/612r1STZITL.__AC_SX300_SY300_QL70_ML2_.jpg,98,https://www.amazon.com/Monolith-M1060C-Planar-Magnetic-Headphones/dp/B079YZF9YS,AMZN-95
4%,4%,10%,19%,63%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/71pBPjY6QkL.__AC_SX300_SY300_QL70_ML2_.jpg,40,https://www.amazon.com/HIFIMAN-Full-Size-Open-Back-Headphone-Architecture/dp/B09H5DXNBX,AMZN-96
5%,3%,5%,10%,77%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/61UzY7vPUIL.__AC_SX300_SY300_QL70_ML2_.jpg,24261,https://www.amazon.com/Bose-Cancelling-Wireless-Bluetooth-Headphones/dp/B07Q9MJKBV,AMZN-97
4%,2%,14%,24%,56%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/61uHT2PX0SL.__AC_SX300_SY300_QL70_ML2_.jpg,80,https://www.amazon.com/Headphone-MDR-1AM2-S-Domestic-genuine-products%E3%80%91/dp/B079VKG1MZ,AMZN-98
0%,6%,6%,15%,72%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/71Wjq1toUhL.__AC_SY300_SX300_QL70_ML2_.jpg,98,https://www.amazon.com/Fostex-Diaphragm-Stereo-Headphones-T60RP/dp/B07995MGX7,AMZN-99
0%,0%,0%,0%,100%,"5.0""",https://m.media-amazon.com/images/I/61HxHCghY+L._AC_SX300_SY300_.jpg,1,https://www.amazon.com/Hamilton-Buhl-24-HA7-Headphones/dp/B000ZGSND0,AMZN-100
14%,7%,13%,9%,57%,"3.9""",https://images-na.ssl-images-amazon.com/images/I/71sudg9C45L.__AC_SX300_SY300_QL70_ML2_.jpg,40,https://www.amazon.com/Hamilton-Buhl-Multi-Frequency-Transmitter-Headphones/dp/B0045VEZ88,AMZN-101
10%,5%,5%,15%,65%,"4.2""",https://m.media-amazon.com/images/I/81twKd+CwbL._AC_SY300_SX300_.jpg,61,https://www.amazon.com/PSB-M4U-Cancelling-Bluetooth-Headphones/dp/B078HSCGMC,AMZN-102
5%,4%,12%,20%,59%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/61g9e9n2cwL.__AC_SX300_SY300_QL70_ML2_.jpg,66,https://www.amazon.com/Sony-Bluetooth-enabled-canceling-headphones-MDR-ZX770BN-L/dp/B00VN27NJK,AMZN-103
5%,6%,9%,20%,60%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/71FrbqZOTdL.__AC_SX300_SY300_QL70_ML2_.jpg,960,https://www.amazon.com/Shure-Cancelling-Headphones-Studio-Quality-Technology/dp/B084RZSFCX,AMZN-104
2%,5%,5%,15%,73%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/71u-u9MT5qL.__AC_SX300_SY300_QL70_ML2_.jpg,128,https://www.amazon.com/beyerdynamic-Streaming-Including-Open-Back-USB-Microphone/dp/B07KTG74S7,AMZN-105
4%,4%,10%,10%,72%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/51GssWUN-DL.__AC_SX300_SY300_QL70_ML2_.jpg,150,https://www.amazon.com/Focal-Listen-Professional/dp/B07C5BXV58,AMZN-106
3%,3%,7%,12%,75%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/61Y6MmNb9WL.__AC_SX300_SY300_QL70_ML2_.jpg,590,https://www.amazon.com/HIFIMAN-Audiophiles-Comfortable-Fit-Register-Manufacturers/dp/B088T14XB8,AMZN-107
5%,2%,5%,13%,76%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/61eJhLsaV0L.__AC_SX300_SY300_QL70_ML2_.jpg,1164,https://www.amazon.com/HIFIMAN-SUNDARA-Over-Ear-Full-Size-Headphones/dp/B077XDWT7X,AMZN-108
2%,2%,4%,16%,76%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/81IRb2rhIML.__AC_SX300_SY300_QL70_ML2_.jpg,615,https://www.amazon.com/Sony-WHXB900-Wireless-Cancelling-Headphones/dp/B07VGZQJXC,AMZN-109
16%,0%,36%,18%,29%,"3.4""",https://images-na.ssl-images-amazon.com/images/I/71ztjsydZQL.__AC_SX300_SY300_QL70_ML2_.jpg,16,https://www.amazon.com/Final-Audio-Design-Resolution-Headphone/dp/B01CGSK15C,AMZN-110
2%,2%,4%,15%,76%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/816QIo27ASL.__AC_SX300_SY300_QL70_ML2_.jpg,3523,https://www.amazon.com/Sony-WH-XB900N-Canceling-Headphones-Exclusive/dp/B07RMPVX1D,AMZN-111
6%,6%,9%,19%,60%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/71RfWolfKkL.__AC_SY300_SX300_QL70_ML2_.jpg,241,https://www.amazon.com/Bose-Audio-Headphones-Discontinued-Manufacturer/dp/B005KJMTXM,AMZN-112
2%,1%,3%,8%,86%,"4.7""",https://images-na.ssl-images-amazon.com/images/I/71ig6PDStcL.__AC_SX342_SY445_QL70_ML2_.jpg,1748,https://www.amazon.com/Beats-Solo3-Wireless-Ear-Headphones/dp/B07HKHWX7X,AMZN-113
12%,6%,5%,15%,62%,"4.1""",https://images-na.ssl-images-amazon.com/images/I/71DTWl2ssbL.__AC_SX300_SY300_QL70_ML2_.jpg,29,https://www.amazon.com/Audio-Technica-ATH-SR9-Sound-Reality-High-Resolution/dp/B01M6ZUVXA,AMZN-114
10%,2%,9%,19%,60%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/611DL5mUkZL.__AC_SX300_SY300_QL70_ML2_.jpg,126,https://www.amazon.com/Monolith-Magnetic-Headphone-Headband-Earcups/dp/B07YX7K4CP,AMZN-115
30%,0%,26%,0%,44%,"3.3""",https://images-na.ssl-images-amazon.com/images/I/51F7sGGhoCL.__AC_SX300_SY300_QL70_ML2_.jpg,5,https://www.amazon.com/AIAIAI-TMA-2-Move-Headphones-Bluetooth/dp/B082DV6HYR,AMZN-116
13%,17%,10%,6%,53%,"3.7""",https://images-na.ssl-images-amazon.com/images/I/51GWTkzprRL.__AC_SX300_SY300_QL70_ML2_.jpg,30,https://www.amazon.com/SoundMAGIC-HP1000-Cancelling-Professional-Closed-Back/dp/B07VTV3VZP,AMZN-117
9%,5%,12%,21%,53%,"4.0""",https://images-na.ssl-images-amazon.com/images/I/711sKtMAjfL.__AC_SX300_SY300_QL70_ML2_.jpg,32,https://www.amazon.com/Brookstone-Wireless-Noise-Cancelling-Headphones-BKH928/dp/B07ZS4MG1M,AMZN-118
4%,3%,3%,15%,75%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/51YOs0x5WkL.__AC_SX300_SY300_QL70_ML2_.jpg,483,https://www.amazon.com/Sony-WH-H900N-Cancelling-Resolution-Headphones/dp/B075X9M9R4,AMZN-119
0%,0%,0%,0%,100%,"5.0""",https://images-na.ssl-images-amazon.com/images/I/51QseTi2EcL.__AC_SX300_SY300_QL70_ML2_.jpg,2,https://www.amazon.com/Crossfade-M-100-Master-Over-Ear-Headphone/dp/B08SRH18XQ,AMZN-120
4%,8%,9%,16%,63%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/61SXEsFKA9L.__AC_SY300_SX300_QL70_ML2_.jpg,319,https://www.amazon.com/Monolith-16050-Planar-Magnetic-Headphones/dp/B01N32N5DD,AMZN-121
5%,2%,8%,13%,71%,"4.4""",https://m.media-amazon.com/images/I/41mTcC3Hu+S._AC_SY300_SX300_.jpg,130,https://www.amazon.com/Comfort-Audio-LHS-CD1083-Headphones-Earphones/dp/B005IYDFQE,AMZN-122
6%,6%,5%,13%,70%,"4.3""",https://m.media-amazon.com/images/I/713lu+ONcjL._AC_SX300_SY300_.jpg,374,https://www.amazon.com/Jabra-Evolve2-Wireless-Headphones-Link380a/dp/B08B1X3BMB,AMZN-123
2%,7%,11%,11%,69%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/813DFpr3l1L.__AC_SX300_SY300_QL70_ML2_.jpg,175,https://www.amazon.com/Master-Dynamic-Bluetooth-Headphones-Interchangeable/dp/B07DHSBRJW,AMZN-124
8%,4%,3%,16%,70%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/61j-55SIZRL.__AC_SX300_SY300_QL70_ML2_.jpg,52,https://www.amazon.com/Sony-Cancelling-Headphones-Microphone-Microfiber/dp/B08FGB6QF9,AMZN-125
3%,2%,3%,9%,83%,"4.7""",https://images-na.ssl-images-amazon.com/images/I/71o8Q5XJS5L.__AC_SX300_SY300_QL70_ML2_.jpg,35295,https://www.amazon.com/Sony-WH-1000XM4-Canceling-Headphones-phone-call/dp/B0863TXGM3,AMZN-126
2%,4%,5%,20%,69%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/31p-x1DFivL.__AC_SY300_SX300_QL70_ML2_.jpg,125,https://www.amazon.com/Sony-WH-XB910N-Cancelling-Headphones-Performance/dp/B09GKC3NSH,AMZN-127
3%,2%,4%,9%,82%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/51JbsHSktkL.__AC_SY300_SX300_QL70_ML2_.jpg,3975,https://www.amazon.com/Bose-QuietComfort-45-Bluetooth-Canceling-Headphones/dp/B098FKXT8L,AMZN-128
0%,7%,9%,39%,46%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/61qYjji5FNL.__AC_SY300_SX300_QL70_ML2_.jpg,33,https://www.amazon.com/Phonon-Subtonic-Monitor-Headphones-Smb-02/dp/B00F1W0FS4,AMZN-129
4%,2%,3%,7%,84%,"4.7""",https://images-na.ssl-images-amazon.com/images/I/61vz89Or3HL.__AC_SY445_SX342_QL70_ML2_.jpg,1922,https://www.amazon.com/Beats-Studio3-Wireless-Over-Ear-Headphones/dp/B075G56GZD,AMZN-130
4%,4%,20%,16%,56%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/71Jb9YdmMRL.__AC_SX300_SY300_QL70_ML2_.jpg,106,https://www.amazon.com/Audio-Technica-ATH-MSR7-Gun-Metal-Resolution-Headphone/dp/B00OTADUJA,AMZN-131
16%,14%,14%,14%,42%,"3.5""",https://images-na.ssl-images-amazon.com/images/I/41uvbfSkKpL.__AC_SX300_SY300_QL70_ML2_.jpg,237,https://www.amazon.com/PSB-M4U-2-BLK-Cancelling-Headphones/dp/B007TTD7VO,AMZN-132
4%,5%,9%,14%,67%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/81haUSKSurL.__AC_SX300_SY300_QL70_ML2_.jpg,712,https://www.amazon.com/Jabra-Wireless-Noise-Canceling-Headphones-Copper/dp/B07RS8CFJZ,AMZN-133
4%,3%,7%,15%,71%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/714XMbC74LL.__AC_SX300_SY300_QL70_ML2_.jpg,7942,https://www.amazon.com/AILIHEN-Headphones-Foldable-Smartphone-Computer/dp/B076HRFDPM,AMZN-134
7%,3%,17%,16%,58%,"4.1""",https://images-na.ssl-images-amazon.com/images/I/71u0GIutKkL.__AC_SX300_SY300_QL70_ML2_.jpg,74,https://www.amazon.com/JVC-Monitor-Headphones-HA-MX10-B-Japanese/dp/B004MLWVKU,AMZN-135
9%,4%,8%,13%,65%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/816fXIY2whL.__AC_SX300_SY300_QL70_ML2_.jpg,829,https://www.amazon.com/Sony-Cancelling-Bluetooth-Headphone-MDR1000X/dp/B01KHZ4ZYY,AMZN-136
3%,2%,6%,13%,76%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/81Oyq09UREL.__AC_SX300_SY300_QL70_ML2_.jpg,1844,https://www.amazon.com/beyerdynamic-880-250-Ohm-Black/dp/B06XGKQS3H,AMZN-137
10%,6%,12%,13%,58%,"4.0""",https://images-na.ssl-images-amazon.com/images/I/71AM-MBSOuL.__AC_SY300_SX300_QL70_ML2_.jpg,203,https://www.amazon.com/Jabra-Evolve2-Wireless-Headphones-Link380c/dp/B08B8X841L,AMZN-138
4%,3%,7%,15%,71%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/81q3jYgeh6L.__AC_SX300_SY300_QL70_ML2_.jpg,281,https://www.amazon.com/Sony-MDR1AM2-Resolution-Overhead-Headphones/dp/B07BCBT3KC,AMZN-139
3%,4%,7%,13%,73%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/51fxTDoVtdL.__AC_SX300_SY300_QL70_ML2_.jpg,439,https://www.amazon.com/Crossfade-M-100-Master-Over-Ear-Headphone/dp/B07S3H78GX,AMZN-140
4%,4%,6%,10%,76%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/7186aoT2ZML.__AC_SY300_SX300_QL70_ML2_.jpg,303,https://www.amazon.com/Bose-audio-headphones-Discontinued-Manufacturer/dp/B005KJM30G,AMZN-141
5%,0%,8%,17%,70%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/61Ip7lskeuL.__AC_SX300_SY300_QL70_ML2_.jpg,238,https://www.amazon.com/Headphone-MDR-1AM2-B-Domestic-genuine-products/dp/B079VJ11XC,AMZN-142
5%,8%,5%,12%,71%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/71kko5mcHuL.__AC_SX300_SY300_QL70_ML2_.jpg,576,https://www.amazon.com/Audio-Technica-ATH-MSR7bGM-Over-Ear-High-Resolution-Headphones/dp/B07L3GHY8L,AMZN-143
15%,12%,11%,15%,47%,"3.7""",https://images-na.ssl-images-amazon.com/images/I/510OKZTF4hL.__AC_SY300_SX300_QL70_ML2_.jpg,180,https://www.amazon.com/Sony-MDR1RBT-Premium-Bluetooth-Headphones/dp/B009A6D034,AMZN-144
16%,0%,12%,0%,72%,"4.1""",https://m.media-amazon.com/images/I/51WnJzypZ+L._AC_SY300_SX300_.jpg,14,https://www.amazon.com/AIAIAI-75011-TMA-2-Comfort-Headphones/dp/B081QJNPHF,AMZN-145
3%,1%,2%,10%,84%,"4.7""",https://images-na.ssl-images-amazon.com/images/I/71Aclgd057L.__AC_SX300_SY300_QL70_ML2_.jpg,5176,https://www.amazon.com/Bose-QuietComfort-Wireless-Headphones-Cancelling/dp/B07G95TJ3P,AMZN-146
6%,3%,8%,15%,68%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/61WQSvgxsHL.__AC_SY300_SX300_QL70_ML2_.jpg,707,https://www.amazon.com/NEW-Microsoft-Surface-Headphones-Matte/dp/B086QCFRQ5,AMZN-147
8%,10%,10%,16%,55%,"4.0""",https://images-na.ssl-images-amazon.com/images/I/51ke-QyII2L.__AC_SX300_SY300_QL70_ML2_.jpg,99,https://www.amazon.com/Brookstone-Wired-Cat-Ear-Headphones/dp/B015ORGJMG,AMZN-148
11%,10%,15%,21%,43%,"3.7""",https://images-na.ssl-images-amazon.com/images/I/71H3wwM4eOL.__AC_SX300_SY300_QL70_ML2_.jpg,142,https://www.amazon.com/Parrot-Wireless-Cancelling-Headphones-Control/dp/B00F415LFO,AMZN-149
7%,5%,7%,11%,70%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/71QRyXyRCjL.__AC_SX300_SY300_QL70_ML2_.jpg,106,https://www.amazon.com/Poly-Plantronics-Headphones-Bluetooth-Bluetooth-Works/dp/B09BBS4BYJ,AMZN-150
4%,5%,7%,17%,66%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/51z376z5iBL.__AC_SX300_SY300_QL70_ML2_.jpg,712,https://www.amazon.com/Microsoft-GUW-00001-Surface-Headphones/dp/B07JYMFFVR,AMZN-151
0%,0%,10%,9%,80%,"4.7""",https://images-na.ssl-images-amazon.com/images/I/81GLZ6SBkKL.__AC_SX300_SY300_QL70_ML2_.jpg,14,https://www.amazon.com/Bang-Olufsen-Wireless-Headphone-Cancelling/dp/B01KOAJLGE,AMZN-152
0%,0%,0%,0%,100%,"5.0""",https://images-na.ssl-images-amazon.com/images/I/51WS-mpL11L.__AC_SX300_SY300_QL70_ML2_.jpg,1,https://www.amazon.com/Wireless-Headphones-Bluetooth-Playtime-Headband/dp/B089SB784K,AMZN-153
6%,0%,8%,7%,79%,"4.5""",https://m.media-amazon.com/images/I/81tmIf35u+S._AC_SY300_SX300_.jpg,53,https://www.amazon.com/GRADO-SR225x-Prestige-Open-Back-Headphones/dp/B091G6N36N,AMZN-154
32%,15%,0%,0%,53%,"3.3""",https://images-na.ssl-images-amazon.com/images/I/61AOsmLKSaS.__AC_SY300_SX300_QL70_ML2_.jpg,5,https://www.amazon.com/Wireless-Headphones-Bluetooth-Playtime-Headband/dp/B089SB1B3R,AMZN-155
8%,8%,16%,23%,45%,"3.9""",https://images-na.ssl-images-amazon.com/images/I/81z3nEk6gvL.__AC_SY300_SX300_QL70_ML2_.jpg,47,https://www.amazon.com/DROP-HE5XX-Magnetic-Open-Back-Headphones/dp/B08P55D5YW,AMZN-156
0%,0%,0%,0%,100%,"5.0""",https://images-na.ssl-images-amazon.com/images/I/61oRsY5DysL.__AC_SX300_SY300_QL70_ML2_.jpg,1,https://www.amazon.com/Metrophones-Headphone-Metronome-Gel-Filled-Cushions/dp/B00B0E2DWI,AMZN-157
6%,0%,9%,13%,72%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/8146412QXWL.__AC_SX300_SY300_QL70_ML2_.jpg,41,https://www.amazon.com/Kygo-Life-A9-Headphones-Microphone/dp/B07SDR4P96,AMZN-158
5%,3%,4%,11%,76%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/713WatL0V7L.__AC_SX300_SY300_QL70_ML2_.jpg,1656,https://www.amazon.com/beyerdynamic-Premium-Open-Back-Over-Ear-Headphones/dp/B07DHXBMJD,AMZN-159
3%,2%,4%,11%,80%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/71qd8aA5QcL.__AC_SX300_SY300_QL70_ML2_.jpg,29172,https://www.amazon.com/Bose-SoundLink-around-ear-wireless-headphones/dp/B0117RGD0K,AMZN-160
0%,0%,0%,0%,100%,"5.0""",https://images-na.ssl-images-amazon.com/images/I/61rwqdX0fmS.__AC_SX300_SY300_QL70_ML2_.jpg,4,https://www.amazon.com/Avantree-HT5009-Aria-Transmitter-theTransmitter/dp/B08Q36R9HS,AMZN-161
19%,15%,8%,15%,43%,"3.5""",https://images-na.ssl-images-amazon.com/images/I/718iuO1pWvL.__AC_SX300_SY300_QL70_ML2_.jpg,146,https://www.amazon.com/AIAIAI-TMA-1-Headphones-without-Black/dp/B00404H6DQ,AMZN-162
0%,0%,0%,45%,55%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/81bacdpxwuL.__AC_SX300_SY300_QL70_ML2_.jpg,6,https://www.amazon.com/Moshi-Avanti-Ear-Headphones-Caramel/dp/B01HDY6XWY,AMZN-163
19%,8%,13%,17%,43%,"3.6""",https://m.media-amazon.com/images/I/81jupjB+76L._AC_SY300_SX300_.jpg,238,https://www.amazon.com/Audio-Technica-ATH-DSR7BT-Bluetooth-Wireless-Headphones/dp/B06XY4TSGP,AMZN-164
7%,3%,9%,14%,68%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/614aagtar0L.__AC_SX300_SY300_QL70_ML2_.jpg,1869,https://www.amazon.com/AKG-Pro-Audio-Closed-Back-Headphones/dp/B083LCLDR8,AMZN-165
8%,0%,0%,11%,81%,"4.6""",https://m.media-amazon.com/images/I/612wE2+k23L._AC_SY300_SX300_.jpg,16,https://www.amazon.com/Avantree-Opera-Dual-Link-Bundle/dp/B08NVQ2P3P,AMZN-166
2%,1%,3%,8%,85%,"4.7""",https://m.media-amazon.com/images/I/81+jNVOUsJL._AC_SY300_SX300_.jpg,58920,https://www.amazon.com/Bose-QuietComfort-Wireless-Headphones-Cancelling/dp/B0756CYWWD,AMZN-167
5%,4%,0%,8%,83%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/61d2P12bCZL.__AC_SX300_SY300_QL70_ML2_.jpg,70,https://www.amazon.com/Beats-Wireless-Cancelling-Over-Ear-Headphones/dp/B092RG676V,AMZN-168
6%,5%,9%,18%,62%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/61EeKglGnAL.__AC_SX300_SY300_QL70_ML2_.jpg,224,https://www.amazon.com/Master-Dynamic-Over-Ear-Headphones-Superior/dp/B00Q3ELGUU,AMZN-169
7%,4%,8%,15%,66%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/51jx3dB4HOL.__AC_SX300_SY300_QL70_ML2_.jpg,8063,https://www.amazon.com/Jabra-Wireless-Bluetooth-Headphones-Packaging/dp/B0728KWLZK,AMZN-170
12%,15%,13%,23%,37%,"3.6""",https://m.media-amazon.com/images/I/716qoN+uq3L._AC_SX300_SY300_.jpg,80,https://www.amazon.com/Technica-ATH-ANC9-Active-Canceling-Headphones/dp/B0077YTFPS,AMZN-171
36%,0%,0%,31%,33%,"3.2""",https://images-na.ssl-images-amazon.com/images/I/81Hh7WJaNlL.__AC_SX300_SY300_QL70_ML2_.jpg,3,https://www.amazon.com/Beyerdynamics-Headphones-Interface-Extension-Headphone/dp/B09FFK7C84,AMZN-172
10%,3%,7%,19%,61%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/81seSq0jwNL.__AC_SX300_SY300_QL70_ML2_.jpg,665,https://www.amazon.com/V-MODA-Crossfade-Noise-Isolating-Discontinued-Manufacturer/dp/B005HSDLCO,AMZN-173
8%,8%,8%,23%,54%,"4.1""",https://images-na.ssl-images-amazon.com/images/I/71DgQgizcXL.__AC_SY300_SX300_QL70_ML2_.jpg,109,https://www.amazon.com/Bose-Audio-Headphones-Discontinued-Manufacturer/dp/B008YUNHK8,AMZN-174
4%,5%,6%,14%,70%,"4.4""",https://m.media-amazon.com/images/I/41TEk6dY+AL._AC_SX300_SY300_.jpg,2575,https://www.amazon.com/Sennheiser-RS-170-Discontinued-Manufacturer/dp/B002TLT10I,AMZN-175
8%,0%,17%,9%,66%,"4.2""",https://m.media-amazon.com/images/I/61YKvt+Jp0L._AC_SY300_SX300_.jpg,27,https://www.amazon.com/Bose-715594-0020-On-Ear-Headphones-White/dp/B00PHJO82A,AMZN-176
5%,5%,6%,18%,66%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/71vNLCpPIuL.__AC_SX300_SY300_QL70_ML2_.jpg,1044,https://www.amazon.com/Bose-SoundTrue-Headphones-Style-Apple/dp/B00IUICQCE,AMZN-177
7%,3%,8%,15%,67%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/61l0i5ugsfL.__AC_SX300_SY300_QL70_ML2_.jpg,2374,https://www.amazon.com/Bose-SoundTrue-around-ear-headphones-II/dp/B0117RFYYG,AMZN-178
14%,14%,14%,26%,34%,"3.5""",https://images-na.ssl-images-amazon.com/images/I/41Z0WA4C2ML.__AC_SX300_SY300_QL70_ML2_.jpg,25,https://www.amazon.com/ATH-AD500-Full-Size-Headphones-Discontinued-Manufacturer/dp/B000CMLZEG,AMZN-179
9%,8%,15%,17%,51%,"3.9""",https://images-na.ssl-images-amazon.com/images/I/71hzKTcsmbL.__AC_SX300_SY300_QL70_ML2_.jpg,117,https://www.amazon.com/Sennheiser-Urbanite-Galaxy-Ear-Headphones/dp/B00M3NZSP4,AMZN-180
19%,17%,18%,21%,24%,"3.1""",https://images-na.ssl-images-amazon.com/images/I/81ivUohUgFL.__AC_SX300_SY300_QL70_ML2_.jpg,25,https://www.amazon.com/HIFIMAN-FBA_815414012163-HiFiMan-HE-300-Headphones/dp/B00667F7OK,AMZN-181
0%,0%,0%,0%,100%,"5.0""",https://m.media-amazon.com/images/I/81Qywo-+WIL._AC_SY300_SX300_.jpg,1,https://www.amazon.com/Audio-Technica-ATH-M50x-Closed-Back-Professional-Headphones/dp/B09LF4RNXZ,AMZN-182
8%,2%,10%,16%,64%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/61AVGtrrlwL.__AC_SX300_SY300_QL70_ML2_.jpg,123,https://www.amazon.com/JBL-CLUB-700-Wireless-Headphones/dp/B084HNMGWD,AMZN-183
8%,5%,11%,19%,57%,"4.1""",https://images-na.ssl-images-amazon.com/images/I/51hZD-3AtCL.__AC_SX300_SY300_QL70_ML2_.jpg,335,https://www.amazon.com/Sennheiser-HD1-Wireless-Headphones-Cancellation/dp/B01MYAC300,AMZN-184
4%,4%,6%,15%,71%,"4.5""",https://m.media-amazon.com/images/I/71OME+LQk2L._AC_SY300_SX300_.jpg,153,https://www.amazon.com/AKG-3280H00100-K553-MKII/dp/B00X3MT7F6,AMZN-185
11%,8%,0%,31%,49%,"4.0""",https://m.media-amazon.com/images/I/51Pp+MQbcEL._AC_SY300_SX300_.jpg,21,https://www.amazon.com/Audio-Technica-ATH-M40x-Professional-Headphones-Deluxe/dp/B00KFKO6K0,AMZN-186
7%,4%,12%,12%,65%,"4.3""",https://m.media-amazon.com/images/I/71hV-hj+b9L._AC_SY300_SX300_.jpg,203,https://www.amazon.com/V-MODA-Crossfade-Noise-Isolating-Headphone-Silver/dp/B00IYH1UBY,AMZN-187
8%,5%,7%,19%,61%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/61XzAbn-uzL.__AC_SX300_SY300_QL70_ML2_.jpg,98,https://www.amazon.com/Sony-Bluetooth-headphone-MDR-1000X-International/dp/B01LX4PKKT,AMZN-188
18%,9%,11%,12%,50%,"3.7""",https://images-na.ssl-images-amazon.com/images/I/41gHGZLAFQL.__AC_SX300_SY300_QL70_ML2_.jpg,83,https://www.amazon.com/Philips-M1MKIIWT-27-Headphones-White/dp/B00V3A0LCS,AMZN-189
6%,5%,9%,23%,57%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/61OdVcoSQVL.__AC_SX300_SY300_QL70_ML2_.jpg,4889,https://www.amazon.com/Sennheiser-Wireless-Noise-Cancelling-Headphones/dp/B07CKT8Z57,AMZN-190
10%,7%,12%,14%,57%,"4.0""",https://images-na.ssl-images-amazon.com/images/I/715GPIKSPKL.__AC_SX300_SY300_QL70_ML2_.jpg,1213,https://www.amazon.com/AILIHEN-Headphones-Microphone-Cellphones-Smartphones/dp/B01LYKGT3O,AMZN-191
7%,14%,19%,20%,40%,"3.7""",https://images-na.ssl-images-amazon.com/images/I/61d5YXRipKL.__AC_SX300_SY300_QL70_ML2_.jpg,87,https://www.amazon.com/Philips-Cancelling-Headphones-Drivers-losed-Back/dp/B00CK2P5BU,AMZN-192
9%,19%,19%,17%,36%,"3.5""",https://images-na.ssl-images-amazon.com/images/I/61U96yRYEHL.__AC_SX300_SY300_QL70_ML2_.jpg,39,https://www.amazon.com/Sony-MDR-ZX770BN-Bluetooth-Canceling-Headphones/dp/B00ZA1J5GO,AMZN-193
5%,1%,4%,10%,80%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/31Ptw7FPAAL._SX300_SY300_QL70_ML2_.jpg,925,https://www.amazon.com/beyerdynamic-880-Over-Ear-Studio-Headphone/dp/B001B1QENY,AMZN-194
9%,10%,8%,15%,58%,"4.0""",https://images-na.ssl-images-amazon.com/images/I/71UY610PqgL.__AC_SX300_SY300_QL70_ML2_.jpg,168,https://www.amazon.com/Sony-Cancelling-Bluetooth-Headphone-MDR1000X/dp/B01KHZ4ZVW,AMZN-195
2%,1%,4%,8%,85%,"4.7""",https://images-na.ssl-images-amazon.com/images/I/71BBQeUUeKS.__AC_SX300_SY300_QL70_ML2_.jpg,282,https://www.amazon.com/Skullcandy-Crusher-Wireless-Over-Ear-Headphone/dp/B093TCSLY4,AMZN-196
