product_1_star,product_2_star,product_3_star,product_4_star,product_5_star,product_avg_rating,product_img,product_num_reviews,product_url,ID
6%,3%,5%,20%,66%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/81whCHN7kCL.__AC_SX300_SY300_QL70_ML2_.jpg,214,https://www.amazon.com/Headphones-Wireless-Bluetooth-Transmitter-Receiver/dp/B07D7XJG62,AMZN-24
0%,0%,0%,38%,62%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/71CD8d7QOzL.__AC_SX300_SY300_QL70_ML2_.jpg,3,https://www.amazon.com/Classroom-Wired-Ear-Headphones-Headphone/dp/B09XBX69FG,AMZN-25
4%,7%,0%,9%,80%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/71gSF2AfK5L.__AC_SX300_SY300_QL70_ML2_.jpg,35,https://www.amazon.com/Focal-Closed-Back-Circum-Aural-Over-Ear-Headphones/dp/B07NF1FRNH,AMZN-26
5%,0%,2%,18%,74%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/71yBEU79dGL.__AC_SX300_SY300_QL70_ML2_.jpg,39,https://www.amazon.com/Focal-Open-Back-High-Fidelity-Over-Ear-Headphones/dp/B08TDBZPVW,AMZN-27
7%,7%,11%,19%,56%,"4.1""",https://images-na.ssl-images-amazon.com/images/I/5148JEriIuL.__AC_SX300_SY300_QL70_ML2_.jpg,442,https://www.amazon.com/Maeline-Bulk-Ear-Headphones-Headphone/dp/B097CGBS2C,AMZN-28
17%,4%,7%,11%,62%,"4.0""",https://images-na.ssl-images-amazon.com/images/I/61J14mSrZcL.__AC_SX300_SY300_QL70_ML2_.jpg,66,https://www.amazon.com/SENNHEISER-HD-820-Audiophile-Headphones/dp/B07D41MTT7,AMZN-29
0%,0%,0%,36%,64%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/51mQRIQO4SL.__AC_SX300_SY300_QL70_ML2_.jpg,9,https://www.amazon.com/Astell-Kern-beyerdynamic-Generation-Closed-Back/dp/B07KD6PH3N,AMZN-30
10%,8%,13%,13%,57%,"4.0""",https://images-na.ssl-images-amazon.com/images/I/71ynnGygu0L.__AC_SX300_SY300_QL70_ML2_.jpg,40,https://www.amazon.com/Focal-Utopia-Over-Ear-Headphones-Black/dp/B01LX4RNQB,AMZN-31
4%,6%,13%,13%,64%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/61EwSHzoQzL.__AC_SX300_SY300_QL70_ML2_.jpg,196,https://www.amazon.com/Denon-AH-D7200-Reference-Over-Headphones/dp/B06XD8HMKK,AMZN-32
0%,0%,0%,0%,100%,"5.0""",https://images-na.ssl-images-amazon.com/images/I/61IfoGYGLWL.__AC_SX300_SY300_QL70_ML2_.jpg,2,https://www.amazon.com/Focal-Utopia-BE-Headphones-Black/dp/B086M2W7HV,AMZN-33
